Time,Distance (cm)
19:42:20,5.0
19:42:21,5.0
19:42:22,5.0
19:42:23,5.0
19:42:52,10.0
19:42:53,10.0
19:42:54,10.0
19:42:55,10.0
19:43:49,5.0
19:43:50,5.0
19:43:51,5.0
19:43:52,5.0
19:44:27,15.0
19:44:28,15.0
19:44:29,15.0


